id;name;adress
41f8f69b-a7e5-4440-98b4-e44cd72c9a9c;monitor;Vermont Card
fb15c994-ff4e-4188-aafe-0716b3235e92;Automotive;Spur Keys
0ecc94c8-4f6e-4229-b9bc-03c34fa86a4d;envisioneer payment;Cheese purple
0f2304b7-8fb3-46fc-bf7f-7e276c2477c9;AI Cambridgeshire;Sausages synthesizing
6f2e97e7-5fa4-4611-8266-5b8ec0883bfc;world-class Car Loan;Road Niger turquoise
c7853752-a1c8-418e-b4b2-d6a45438d33b;Intelligent Mills capacitor;Administrator
4b241b65-eed9-4ca8-a8c2-193b0211c892;platforms;ADP
8e0f70cf-7295-45d4-b3a9-702e9a3dd885;Polarised Team-oriented;communities monitoring feed
ab2e12c3-ffd6-4cc0-8b3a-5063103af6ae;support;Seychelles Turks
5cd98293-5398-466a-b90a-0a34ba810d23;Delaware;extensible interactive Virtual
