id;name;adress
61e244a1-b222-4b96-9508-0663279e53c2;Wisconsin help-desk port;array front-end
782898c9-5c54-4a70-ac56-4126f1f51ff3;monetize;SAS
0fe81cc7-c9f9-48d3-bf24-91052087c5a8;Metal experiences Savings;niches
66b34ef0-ea92-48d8-bfed-602c939640dc;sexy Awesome;bandwidth-monitored SQL Pizza
9f818a7d-f1c9-459f-ad7f-73eb19596af0;Salad;Keyboard pixel
b94670de-8b29-4a80-baf3-8997c9ded688;global Franc;and
fae54dc9-4281-461d-80a3-b67b8aef566f;Future;Steel
7ff83663-a787-4bfa-8f08-16280efe3ac2;Tuna Coves salmon;quantify bus Producer
605eba14-d5da-4165-b664-eb490619b3a6;Robust;Streamlined
44f45130-089d-4981-b97f-1ea0ec60f7fe;blue Car;Lempira
