id;price;type;description
f53f264b-07e3-406c-8d8f-fede849700f7;79392;SAS Myanmar;Internal Soap
306467c9-5829-4a2e-8260-cc60c0708dcf;86777;Computer initiatives;Global
4b7d9c2d-a541-408c-a420-1b01737e2f39;36527;e-business Multi-channelled;Bedfordshire web-readiness
d7b0d537-2c22-462f-a015-13920584b413;61158;synergistic;Music connect
83af8e50-422c-4ad6-a67f-67f9ca5cba1c;65645;Nicaragua Plastic context-sensitive;Sleek azure Refined
27511c21-5789-48a2-b388-5484286a0adb;8143;Wisconsin deposit;capacitor wireless
40c59b95-161e-4efe-87e5-f30594e8cb85;36857;protocol policy Account;circuit Zimbabwe
741e2e08-9c9b-4581-b198-2ecf7e18c18f;33104;port Optimization Licensed;payment
d5b777f4-4064-4dcd-8fce-9fe2a8e08e89;42218;Tasty North;Metal copying
236234d1-907f-411a-9fe4-e79842927c48;22099;digital;navigating copy
